rank,title,author,publisher,pub_date,price,rating
77,아주 작은 습관의 힘(50만 부 기념 스페셜 에디션),제임스 클리어,비즈니스북스,2019.02.26,16200,9.65
78,생각에 관한 생각,대니얼 카너먼,김영사,2018.03.30,26820,9.62
79,꾸준함을 기르는 일,수풀림,다산북스,2026.04.24,16200,9.87
80,인비인,성해나,한겨레출판,2026.06.19,16200,9.76
81,AI 이후의 미래 어떻게 될 것인가,제이슨 솅커,더페이지,2026.05.10,16920,9.54
82,ETS 토익 단기공략 750+(LC+RC),ETS,YBM,2025.07.01,17550,9.61
83,한 권으로 끝내는 해커스 토익 800+(LC+RC+VOCA),해커스 어학연구소,해커스어학연구소,2025.05.26,15930,9.78
84,엄마가 유령이 되었어!,노부미,길벗어린이,2016.05.15,10800,9.73
85,명상록,마르쿠스 아우렐리우스,현대지성,2018.04.02,10800,9.74
86,너를 아끼며 살아라,나태주,더블북,2025.06.12,16650,9.78
87,예약판매신 퇴마록 신세편 1,이우혁,반타,2026.06.23,19800,9.26
88,초역 부처의 말,코이케 류노스케,포레스트북스,2024.05.30,16020,9.59
89,나의 완벽한 장례식,조현선,북로망스,2026.01.21,17100,9.26
90,꽃을 보듯 너를 본다(100만 부 기념 에디션)(리커버:K),나태주,지혜,2020.11.30,11700,9.69
91,구멍청,백희나,스토리보울,2026.05.01,15300,9.86
92,빨간내복야코 안 읽으면 완전 위험한 과학책 5: 지구 운명이 위기,빨간내복야코,위즈덤하우스,2026.06.04,13500,9.94
93,영혼의 왈츠 1,베르나르 베르베르,열린책들,2026.06.24,16200,9.78
94,김재우의 기본 동사 100,김재우,상상스퀘어,2025.12.10,19800,9.47
95,타키 포오 코믹 어드벤처 11,캐릭온TV,대원키즈,2026.05.22,14220,9.76
96,왜 일하는가,이나모리 가즈오,다산북스,2021.04.12,16200,9.41
97,클로드 코드로 시작하는 실전 에이전틱 코딩,Goos Kim,더 타이즈,2026.05.21,29700,9.79
98,데일 카네기 인간관계론(50만부 돌파 초판 무삭제 완역본),데일 카네기,현대지성,2019.10.07,10350,9.71
99,긴긴밤,루리,문학동네,2021.02.03,11250,9.87
100,설민석의 한국사 대모험 37,설민석 외,단꿈아이,2026.05.26,14400,
